CA 0.001 200 0.75 7.028433335868778
CA 0.001 210 0.75 7.022623414916809
CA 0.001 220 0.75 7.017347208910012
CA 0.001 230 0.75 7.012534406430067
CA 0.001 240 0.75 7.008126526662775
CA 0.001 255 0.75 7.002168788775967
CA 0.001 270 0.75 6.9968786769026465
CA 0.001 285 0.75 6.992149925358641
CA 0.001 300 0.75 6.98789768422623
CA 0.001 315 0.75 6.984053383283184
CA 0.001 330 0.75 6.9805610063810875
CA 0.001 345 0.75 6.977374344167905
CA 0.001 360 0.75 6.974454937994201
CA 0.001 375 0.75 6.971770520293824
CA 0.001 390 0.75 6.969293816989078
CA 0.001 250 0.75 7.004074531618388
CA 0.001 266 0.75 6.998230530283921
CA 0.001 282 0.75 6.993055101720882
CA 0.001 298 0.75 6.988439724852967
CA 0.001 314 0.75 6.984298159275665
CA 0.001 346 0.75 6.977171789507632
CA 0.001 362 0.75 6.974084080176972
CA 0.001 378 0.75 6.971259358594166
CA 0.001 394 0.75 6.968665398475692
CA 0.001 410 0.75 6.9662750321769025
CA 0.001 260 0.75 7.00033699421593
CA 0.001 277 0.75 6.9946076624231335
CA 0.001 294 0.75 6.989546103838008
CA 0.001 311 0.75 6.98504200204502
CA 0.001 328 0.75 6.981008071205318
CA 0.001 379 0.75 6.971090780584686
CA 0.001 396 0.75 6.968355977686613
CA 0.001 413 0.75 6.96584757268368
CA 0.001 430 0.75 6.963538569995289
CA 0.001 288 0.75 6.991263757898558
CA 0.001 306 0.75 6.986314395810221
CA 0.001 324 0.75 6.981918876698525
CA 0.001 342 0.75 6.977989163262244
CA 0.001 414 0.75 6.965706470534366
CA 0.001 432 0.75 6.96327893383517
CA 0.001 450 0.75 6.9610465948860885
CA 0.001 280 0.75 6.993669417340378
CA 0.001 299 0.75 6.9881677911233915
CA 0.001 318 0.75 6.983328359136243
CA 0.001 337 0.75 6.979038353438054
CA 0.001 356 0.75 6.975209235442608
CA 0.001 451 0.75 6.960927827503141
CA 0.001 470 0.75 6.9587677428801005
CA 0.001 319 0.75 6.983089736737158
CA 0.001 339 0.75 6.97861493815112
CA 0.001 359 0.75 6.97464192640265
CA 0.001 399 0.75 6.967897696295124
CA 0.001 419 0.75 6.965011118160317
CA 0.001 439 0.75 6.96238893504303
CA 0.001 459 0.75 6.959996412188081
CA 0.001 479 0.75 6.957804643889484
CA 0.001 499 0.75 6.955789379970724
CA 0.001 381 0.75 6.970756295405786
CA 0.001 402 0.75 6.967446294157536
CA 0.001 423 0.75 6.964466736558719
CA 0.001 444 0.75 6.961770492277816
CA 0.001 465 0.75 6.9593189869296
CA 0.001 486 0.75 6.957080344838627
CA 0.001 507 0.75 6.955027995451402
CA 0.001 528 0.75 6.95313961375334
CA 0.001 403 0.75 6.967297328796254
CA 0.001 425 0.75 6.964198409298289
CA 0.001 447 0.75 6.961406101866756
CA 0.001 469 0.75 6.958877046779672
CA 0.001 491 0.75 6.9565756918863695
CA 0.001 513 0.75 6.954472610978756
CA 0.001 535 0.75 6.952543238846294
CA 0.001 557 0.75 6.9507669073367975
CA 0.001 448 0.75 6.961285728472788
CA 0.001 471 0.75 6.958658905387853
CA 0.001 494 0.75 6.956277826507215
CA 0.001 517 0.75 6.95410954822508
CA 0.001 540 0.75 6.952126763444282
CA 0.001 563 0.75 6.950306645551794
CA 0.001 586 0.75 6.948629965696026
CA 0.001 495 0.75 6.956179344115055
CA 0.001 519 0.75 6.95393012479776
CA 0.001 543 0.75 6.9518805753813995
CA 0.001 567 0.75 6.950005238021414
CA 0.001 591 0.75 6.948282806245738
CA 0.001 615 0.75 6.946695311906453
CA 0.001 544 0.75 6.951799118652595
CA 0.001 569 0.75 6.949856129836867
CA 0.001 594 0.75 6.948077326789398
CA 0.001 619 0.75 6.946442742261159
CA 0.001 644 0.75 6.94493552057926
CA 0.001 595 0.75 6.948009295879079
CA 0.001 621 0.75 6.94631768210998
CA 0.001 647 0.75 6.94476250915988
CA 0.001 673 0.75 6.943327909588172
CA 0.001 648 0.75 6.944705195943552
CA 0.001 675 0.75 6.943222149042732
CA 0.001 702 0.75 6.941853557129729
CA 0.001 703 0.75 6.941804894049338
CA 0.001 731 0.75 6.940496553486684
CA 0.001 760 0.75 6.939243424616155
OS 0.001 200 0.75 5.1464160718314815
OS 0.001 210 0.75 5.103306422097376
OS 0.001 220 0.75 5.131362493819324
OS 0.001 230 0.75 5.157036560733104
OS 0.001 240 0.75 5.118846934783505
OS 0.001 255 0.75 5.125231187761528
OS 0.001 270 0.75 5.13089882794884
OS 0.001 285 0.75 5.084283092961414
OS 0.001 300 0.75 5.091405274026329
OS 0.001 315 0.75 5.097846726042917
OS 0.001 330 0.75 5.059276885556756
OS 0.001 345 0.75 5.06653118217946
OS 0.001 360 0.75 5.073181127983844
OS 0.001 375 0.75 5.079299233475467
OS 0.001 390 0.75 5.084946854010923
